,city,latitude,longitude,temperature,max temperature,wind speed,cloudiness,humidity
388,Sept-Îles,50.2001,-66.3821,285.4,285.44,2.57,1,91
389,Tierralta,8.1736,-76.0592,296.92,296.92,0.5,100,96
390,Preston,53.7667,-2.7167,281.65,284.18,1.24,3,36
391,Bad Kissingen,50.2,10.0833,285.64,286.25,0.53,67,97
392,Kirakira,-10.4544,161.9205,300.06,300.06,4.07,100,71
393,Quepos,9.4236,-84.1652,300.23,300.67,1.14,100,92
394,Anadyr,64.75,177.4833,282.04,282.43,7.6,90,93
395,Macará,-4.3833,-79.95,292.69,292.69,1.01,22,72
396,Bemidji,47.4736,-94.8803,291.07,293.51,1.54,1,73
397,Kiryat Gat,31.61,34.7642,305.04,305.04,0.63,0,42
398,Patrocínio,-18.9439,-46.9925,289.33,289.33,0.89,7,64
399,Ancud,-41.8697,-73.8203,280.89,280.89,2.53,100,95
400,Belo Jardim,-8.3356,-36.4242,291.72,291.72,3.78,100,90
401,Menongue,-14.6585,17.691,282.39,282.39,2.2,0,57
402,Hofn,64.2539,-15.2082,284.81,284.81,3.4,100,84
403,Umba,66.6871,34.3429,286.22,286.22,4.73,100,95
404,Westport,41.1415,-73.3579,290.71,295.23,1.79,20,84
405,Kuytun,54.3419,101.5036,296.39,296.39,3.09,100,43
406,Orange,33.7,-117.7675,296.51,305.71,2.57,1,64
407,Tancheng,27.4375,115.4976,307.59,307.59,4.28,99,50
408,Māngrol,21.1167,70.1167,301.92,301.92,8.75,100,79
409,Polunochnoye,60.8697,60.4153,294.47,294.47,1.72,0,57
411,Naviraí,-23.065,-54.1906,284.51,284.51,2.26,0,59
412,Chapais,49.7834,-74.8492,288.03,288.03,6.1,100,96
413,Airai,-8.9266,125.4092,298.63,298.63,2.3,36,32
415,Paamiut,61.994,-49.6678,280.74,280.74,3.56,100,91
416,Avera,33.194,-82.5271,296.35,297.89,3.61,100,78
417,Nizwá,22.9333,57.5333,306.83,306.83,1.54,35,34
418,Berbera,10.4396,45.0143,305.41,305.41,12.33,21,41
419,Octeville,49.6261,-1.6435,286.43,288.11,3.09,40,94
420,Tikrit,34.6071,43.6782,309.65,309.65,5.04,13,21
421,Nānākuli,21.3906,-158.1547,301.03,302.12,6.17,1,52
422,Rudnichnyy,59.617,52.4703,295.67,295.67,2.81,97,61
423,Adela,12.4416,120.9729,301.96,301.96,7,100,81
424,Dongsheng,39.8161,109.9776,289.5,289.5,4.06,100,72
425,Visby,57.6409,18.296,287.97,289.18,3.09,40,67
426,Yangi Marg`ilon,40.4272,71.7189,302.55,302.79,2.06,34,32
427,Teya,60.3778,92.6267,296.86,296.86,1.37,43,45
428,Buala,-8.145,159.5921,300.35,300.35,2.03,84,79
429,Trairi,-3.2778,-39.2689,295.76,295.76,2.75,31,91
430,Touho,-20.7833,165.2333,294.04,294.04,3.78,0,67
431,Esso,55.9333,158.7,285.43,285.43,4.45,87,58
432,Kuril'sk,45.2333,147.8833,288.86,288.86,3.2,99,85
433,Bud,39.447,-86.1758,289.4,292.03,2.8,18,84
434,Lakes Entrance,-37.8811,147.981,287.69,287.69,5.1,82,57
435,Bridlington,54.0831,-0.1919,284.48,286.42,2.59,59,70
436,Hihyā,30.6713,31.588,301.23,301.64,1.69,0,46
437,North Bend,43.4065,-124.2243,287.92,288.1,3.09,90,82
438,Itarema,-2.9248,-39.9167,296.22,296.22,1.12,46,85
439,Vanimo,-2.6741,141.3028,302.81,302.81,3.63,62,74
441,Kalmunai,7.4167,81.8167,305.16,305.16,0.6,96,47
442,Ginda,30.6945,78.4932,297.59,297.59,1.8,50,75
443,Naze,28.3667,129.4833,302.66,302.66,7.6,54,77
444,Dauriya,49.9333,116.8667,299.94,299.94,4.87,48,42
445,Constitución,-35.3333,-72.4167,284.16,284.16,2.13,0,70
446,Aklavik,68.2191,-135.0107,283.61,284.55,5.54,100,86
447,Beremend,45.7911,18.4326,290.85,292.73,1.88,90,47
448,Cabo San Lucas,22.8909,-109.9124,303.11,304.71,4.02,8,70
449,Minudasht,37.2289,55.3747,301.91,301.91,2.06,0,61
451,Bhadrāchalam,17.6667,80.8833,303.44,303.44,5.12,97,63
452,Novorzhev,57.0294,29.3338,287.4,287.4,4.74,99,86
453,Mwinilunga,-11.7358,24.4293,284.5,284.5,1.86,6,61
454,Marrakesh,31.6315,-8.0083,292.19,292.19,1.54,0,77
455,Afyonkarahisar,38.75,30.6667,294.88,294.88,1.55,0,27
456,Talara,-4.5772,-81.2719,291.66,291.66,5.68,23,85
457,Zemio,5.0314,25.1361,292.9,292.9,0.82,80,97
458,Guerrero Negro,27.9769,-114.0611,296.15,296.15,4.04,77,77
459,Kumluca,36.3703,30.2869,307.01,307.01,3.31,0,28
460,Adrar,20.5022,-10.0711,304.35,304.35,5.64,58,42
461,Sørland,67.667,12.6934,281.19,281.19,5.71,100,76
463,Plérin,48.5425,-2.7798,285.21,286.33,0.45,0,90
464,Broome,42.2506,-75.833,284.17,286.84,0.5,0,84
465,Bac Lieu,9.285,105.7244,305.37,305.37,8.24,94,56
466,Linxia Chengguanzhen,35.6003,103.2064,288.16,288.16,2.14,100,90
467,Marabu,4.4148,114.0089,304.23,304.23,2.57,20,62
468,Zhangaözen,43.3,52.8,307.27,307.27,2.31,15,12
470,Palora,-1.7,-77.9333,289.97,289.97,1.27,100,90
471,Miandrivazo,-19.5167,45.4667,295.01,295.01,0.95,34,63
472,Kenai,60.5544,-151.2583,287.09,291.5,5.66,40,87
473,Shingū,33.7333,135.9833,301.99,301.99,2.18,89,83
474,Francisco Beltrão,-26.0811,-53.055,280.04,280.04,1.75,0,84
475,Tura,25.5198,90.2201,299.93,299.93,1.97,100,90
476,Nabire,-3.3667,135.4833,303.71,303.71,2.44,58,63
477,Pangnirtung,66.1451,-65.7125,279.95,279.95,0.91,100,89
478,Zyryanka,65.75,150.85,287.73,287.73,4.11,56,41
480,Poltavka,54.3663,71.7632,296.45,296.45,4.94,100,46
481,Wanaka,-44.7,169.15,277.79,277.79,1.98,42,79
482,Dawson Creek,55.7666,-120.2362,293.95,294.79,1.54,1,88
483,Azul,-36.777,-59.8585,278.57,278.57,2.93,0,78
484,Nizhniy Baskunchak,48.2198,46.8311,306.51,306.51,2.84,39,18
485,Sibut,5.718,19.0739,293.17,293.17,0.63,93,97
486,Alice Springs,-23.7,133.8833,288.9,288.9,5.14,0,31
487,Bhīm Tāl,29.35,79.5667,296.57,296.57,1.97,73,77
488,Avigliano,40.7329,15.72,291.14,291.14,2.33,25,30
490,Juradó,7.1053,-77.7641,298.52,298.52,0.65,100,87
492,Lere,10.387,8.5726,292.59,292.59,0.95,100,94
493,Venice,27.0998,-82.4543,301.03,303.21,3.6,40,81
494,Doha,25.2867,51.5333,311.5,313.14,1.54,17,40
495,Khorinsk,52.1657,109.7726,292.68,292.68,2.24,100,72
496,Florø,61.5996,5.0328,282.24,284.24,0,90,81
497,Jiazi,22.8779,116.067,301.97,301.97,3.66,97,79
498,Belyy Yar,53.6039,91.3903,298.09,298.09,2,0,53
499,San Quintín,30.4833,-115.95,295.16,295.16,2.85,4,74
500,Batticaloa,7.7102,81.6924,304.81,304.81,1.61,99,47
501,Dunedin,-45.8742,170.5036,281.37,281.37,8.05,53,64
502,Nizhnyaya Tavda,57.6731,66.1725,295.95,295.95,2.79,13,60
503,Dustlik,40.5247,68.0358,308.97,308.97,3.48,0,19
505,Yerbogachën,61.2767,108.0108,298.77,298.77,2.62,92,39
507,Saint-Joseph,-21.3667,55.6167,293.07,293.36,1.14,0,61
509,Darnah,32.767,22.6367,302.37,302.37,7.46,0,60
510,Lavrentiya,65.5833,-171,280.55,280.55,3.81,100,99
511,Tabas,33.5959,56.9244,307.27,307.27,2.06,0,10
512,Amahai,-3.3333,128.9167,301.25,301.25,3.58,62,77
513,Khani,41.9563,42.9566,294.91,294.91,1.03,1,48
514,Tiznit Province,29.5833,-9.5,290.85,290.85,0.2,3,79
516,Marathon,44.9,-89.7668,288.1,290.01,2.06,40,92
517,Pizarro,4.9533,-77.366,298.03,298.03,0.98,100,89
519,Pacific Grove,36.6177,-121.9166,288.56,293.01,0.89,90,86
520,Zaragoza,41.6561,-0.8773,291.02,292.6,1.79,0,64
521,Vardø,70.3705,31.1107,283.26,283.26,4.01,100,79
522,Gouré,13.9835,10.2704,296.49,296.49,4.56,77,74
523,Abadan,38.0507,58.2056,306,306,7.2,27,19
524,Hokitika,-42.7167,170.9667,283.4,283.4,2.3,85,62
525,Manadhoo,5.7667,73.3833,301.15,301.15,3.01,97,72
526,Alanya,36.5438,31.9998,306.2,306.2,1.62,0,23
529,Abhā,18.2164,42.5053,292.29,292.29,2.06,0,64
530,Kita,13.0349,-9.4895,295.14,295.14,1.48,38,96
531,Morón,-34.6534,-58.6198,282.32,285.01,1.34,0,95
532,Salinópolis,-0.6136,-47.3561,298.57,298.57,2.41,59,79
533,Archidona,37.0965,-4.3887,290.35,292.26,1.7,6,92
534,São João da Barra,-21.6403,-41.0511,292.51,292.51,3.55,3,80
535,Aksarka,66.5606,67.7975,291.49,291.49,2.42,41,62
536,Erzincan Province,39.75,39.5,293.76,293.76,1.03,0,60
537,Leshukonskoye,64.8989,45.7622,292.31,292.31,3.92,95,69
538,Abalak,58.1286,68.5944,293.83,293.83,2.93,92,59
539,Vysokogornyy,50.1167,139.15,296.01,296.01,2.02,89,61
540,Ayan,56.45,138.1667,284.74,284.74,4.23,100,93
541,Touros,-5.1989,-35.4608,295.65,295.65,6.45,15,88
542,Grindavik,63.8424,-22.4338,284.34,284.41,2.57,75,93
543,Carballo,43.213,-8.691,285.94,287.54,0.95,74,93
544,Palmer,42.1584,-72.3287,287.67,289.83,0,1,84
545,Betafo,-19.8333,46.85,287.81,287.81,1.56,4,53
548,Tiarei,-17.5333,-149.3333,299.16,299.16,3.89,72,73
549,Bambanglipuro,-7.95,110.2833,299.14,299.14,6.43,92,82
550,Port Moresby,-9.4431,147.1797,301.83,301.83,5.14,40,70
551,Montrose,38.4166,-108.2673,285.84,287.91,1.47,86,64
